menu_seq,menu_name,price_amount,open_date,is_open,is_stop_selling,menu_type,chatbot_content_type,topic,intents,temporal,buyers_12m,revenue_12m,buyers_6m,revenue_6m,buyers_30d,revenue_30d,age_13_15,age_16_20,age_21_25,age_26_30,age_31_35,age_36_40,age_41_45,age_46_50,age_51_55,age_56_60,age_61_65,age_66plus,age_unknown,segment
28894,재회 사주: 그 사람과 다시 만날 운명일까?,27000,2023-06-01 06:39:39+00,true,false,clickableMenu,사주,연애,재회,,3795,8.509545E7,1137,2.45427E7,128,2819100.0,20,394,1134,1257,669,215,74,28,7,3,0,0,3,S3
59089,내 운명 지도: 전국편,19500,2026-02-25 15:00:00+00,true,false,clickableMenu,사주,연애,,,4612,8.263545E7,4612,8.263545E7,1447,2.515785E7,5,231,1113,1647,1114,387,85,19,6,2,0,0,3,S3
47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,27000,2025-03-12 15:00:00+00,true,false,clickableMenu,사주,연애,재회|궁합,,2928,6.76986E7,1021,2.306715E7,146,3307800.0,12,189,712,1101,586,232,72,30,5,1,1,0,2,S3
31435,지금 날 간절히 원하는 사람 누구일까?,18000,2023-07-20 16:00:00+00,true,false,clickableMenu,타로,연애,,,3375,6.583155E7,1590,2.896425E7,275,4771800.0,34,370,904,1026,673,246,92,22,16,2,0,0,8,S3
57439,2026년에 찾아올 두 명의 인연,24000,2025-11-27 15:00:00+00,true,false,clickableMenu,사주,연애,,신년운세,2870,6.41595E7,2870,6.41595E7,230,5128050.0,12,200,701,954,696,213,70,19,9,2,1,1,3,S3
52621,{{이름}}님의 3번의 결정적 결혼수💍,24000,2025-07-16 15:00:00+00,true,false,clickableMenu,사주,결혼,결혼시기,,3258,6.12525E7,685,1.272195E7,71,1366350.0,2,101,530,1204,917,367,108,22,10,2,0,0,0,S4
23878,내 운명 지금 어디 있을까?,18000,2022-10-18 15:00:00+00,true,false,clickableMenu,사주,연애,새로운만남,,3373,5.84436E7,1179,2.054235E7,108,1925100.0,11,302,926,1139,663,248,59,19,11,1,1,0,1,S3
27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,21000,2023-04-26 16:00:00+00,true,false,clickableMenu,사주,결혼,궁합,,2914,5.801355E7,1251,2.38806E7,191,3719550.0,3,43,331,1285,909,267,67,12,5,1,0,1,2,S4
43117,내 사주의 사랑운: 연애만? 결혼까지!,18000,2024-08-15 16:00:00+00,true,false,clickableMenu,사주,연애,,,3464,5.70666E7,1321,2.161785E7,117,1966500.0,14,272,952,1221,695,252,46,10,5,1,0,0,4,S3
56614,"[창광] 신년운세 통합본 ""2026년 병오년""",66000,2025-11-05 15:00:00+00,true,false,clickableMenu,사주,총운,,신년운세,978,5.51319E7,862,4.826595E7,15,865650.0,0,7,104,296,270,168,90,23,16,3,2,0,0,S3
47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",18000,2025-02-19 15:00:00+00,true,false,clickableMenu,타로,연애,재회|속마음,,2965,5.452215E7,831,1.471965E7,98,1709700.0,27,311,796,918,575,202,94,32,9,10,0,0,4,S3
54668,결혼 사주 즉문즉답: 시기・상대・개운・팔자,19500,2025-08-21 15:00:00+00,true,false,clickableMenu,사주,결혼,,,2974,5.32224E7,1032,1.7022E7,94,1568550.0,1,60,410,1164,903,328,84,21,7,2,0,0,1,S4
49519,임신운 풀이: 삼신할매가 점지한 우리 아가,31500,2025-05-08 15:00:00+00,true,false,clickableMenu,사주,가족자녀,임신출산,,1759,5.162835E7,396,1.12014E7,26,751200.0,0,14,126,508,767,272,67,5,2,0,0,0,2,S3
26805,그 사람과 나의 3가지 사주궁합,27000,2023-04-14 07:00:00+00,true,false,clickableMenu,사주,연애,궁합,,2147,5.096325E7,674,1.550145E7,77,1721400.0,5,108,413,779,527,229,63,20,5,4,0,0,1,S3
57769,2026년 족집게 애정운 🌸,19500,2025-12-10 15:00:00+00,true,false,clickableMenu,사주,연애,,신년운세,2635,4.769415E7,2635,4.769415E7,89,1539450.0,3,119,510,875,687,299,95,27,20,5,0,0,2,S3
48332,🪡6개월 내 반드시 만나게 될: 붉은 실 인연🧶,18750,2025-03-27 15:00:00+00,true,false,clickableMenu,타로,연애,,,2610,4.68255E7,1118,1.967565E7,106,1758450.0,7,138,614,903,597,240,71,27,9,5,0,0,5,S3
42952,내 사주에 쓰인 운명의 배우자,18000,2024-08-07 15:00:00+00,true,false,clickableMenu,사주,연애,,,3011,4.640085E7,1120,1.685325E7,84,1297650.0,17,208,671,1133,687,216,62,12,6,2,0,0,1,S3
19192,타고난 결혼운 + 내 운명의 상대,36000,2021-08-23 15:00:00+00,true,false,clickableMenu,사주,결혼,새로운만남|결혼시기,,1630,4.55172E7,239,6797850.0,21,612450.0,9,98,363,615,379,127,26,5,5,0,0,0,3,S4
25978,D-DAY 재회 타로: 다시 만날 수 있을까?,18000,2023-03-08 15:00:00+00,true,false,clickableMenu,타로,연애,재회,,2713,4.543365E7,1264,2.041755E7,172,2825550.0,21,357,779,826,441,140,79,29,6,7,0,0,41,S3
21799,월지로 보는 인연: 배우자가 될 3명의 후보,18000,2025-02-06 15:00:00+00,true,false,clickableMenu,사주,연애,,,2748,4.51842E7,545,8877000.0,83,1376700.0,12,203,664,1016,568,207,53,19,5,2,0,0,1,S3
48892,🩵하늘이 맺어준 혼인길 점괘🩵,21000,2025-04-16 15:00:00+00,true,false,clickableMenu,사주,결혼,,,2162,4.40397E7,793,1.571505E7,106,2119500.0,3,43,371,882,596,209,44,11,9,3,0,0,2,S4
25297,사주로 보는 그 사람의 속마음,18000,2023-01-09 15:00:00+00,true,false,clickableMenu,사주,연애,속마음,,2075,4.123395E7,726,1.343535E7,106,1821900.0,14,204,551,657,424,156,56,15,7,3,0,0,2,S3
56416,[창광] 26년 병오년 사랑운과 인연운,20250,2025-10-15 15:00:00+00,true,false,clickableMenu,사주,연애,,신년운세,2230,3.819735E7,1366,2.312445E7,48,860400.0,6,109,450,796,564,212,67,17,9,4,1,0,1,S3
2141,그 사람의 속마음,1500,,true,false,clickableMenu,타로,연애,속마음,,13174,3.78912E7,6019,1.588845E7,1000,2177400.0,528,2393,3327,3563,1909,834,358,135,65,23,6,0,227,S1
57010,2026 신년 애정운: 연애/재회/미혼/기혼,19500,2025-11-13 15:00:00+00,true,false,clickableMenu,사주,연애,재회,신년운세,2269,3.760245E7,2094,3.445605E7,97,1598850.0,3,112,424,795,578,238,72,26,21,6,0,0,1,S3
51301,사주+타로: 임신운 심층 분석,31500,2025-06-19 15:00:00+00,true,false,clickableMenu,타로,가족자녀,임신출산,,1277,3.69231E7,338,9500100.0,30,864600.0,0,6,51,343,585,238,46,7,1,0,0,0,2,S3
26214,그 사람도 날 좋아할까?,15000,2023-03-26 15:00:00+00,true,false,clickableMenu,타로,연애,썸짝사랑,,2136,3.681285E7,1073,1.66974E7,185,2574450.0,40,301,605,642,348,131,59,12,5,2,1,0,17,S3
56648,재회 궁합: 그 사람 반드시 돌아오게 하는 법,24000,2025-10-29 15:00:00+00,true,false,clickableMenu,사주,연애,재회|궁합,,1878,3.655245E7,1422,2.73282E7,99,1934250.0,18,201,471,624,341,139,56,15,9,5,0,0,3,S3
55789,2026 신년운세 즉문즉답: 애정・재물・직업・대운,28500,2025-09-18 15:00:00+00,true,false,clickableMenu,사주,연애,,신년운세,1361,3.238245E7,615,1.351395E7,34,770250.0,1,28,197,432,385,192,77,32,16,4,2,0,2,S3
42660,"우리 커플 삼단궁합 : 연애궁합, 속궁합, 결혼궁합",27000,2024-07-26 02:00:01+00,true,false,clickableMenu,사주,연애,궁합,,1354,3.02925E7,606,1.340265E7,45,919800.0,0,56,240,478,349,164,46,11,11,4,0,0,0,S3
21734,그 사람 속마음 [심화],18000,2022-06-28 15:00:00+00,true,false,clickableMenu,타로,연애,속마음,,1416,2.948235E7,696,1.337055E7,103,1866300.0,20,128,365,439,280,99,53,17,8,2,0,0,12,S3
21964,내 사주에 연애 상대 몇 명 있을까?,24000,2022-07-21 15:00:00+00,true,false,clickableMenu,사주,연애,,,1677,2.91867E7,728,1.24734E7,115,2040000.0,12,201,517,524,286,98,31,5,5,2,0,0,1,S3
50542,[창광] 25년 하반기: 사랑운과 인연운,20250,2025-06-04 15:00:00+00,false,true,clickableMenu,사주,연애,,하반기운세,1730,2.90133E7,6,106200.0,0,0.0,2,90,379,601,429,154,44,19,8,3,0,1,0,S3
56516,[창광] 26년 병오년 직업운과 합격운,20250,2025-10-29 15:00:00+00,true,false,clickableMenu,사주,학업직업,,신년운세,1573,2.733975E7,1299,2.245725E7,111,1928550.0,1,59,262,502,418,191,96,30,14,2,1,0,1,S4
58165,인연 찾기: 시기/상대/만나는 방법,19500,2026-01-07 15:00:00+00,true,false,clickableMenu,사주,연애,새로운만남,,1646,2.733975E7,1646,2.733975E7,227,3798600.0,7,80,300,542,441,178,64,21,8,3,1,0,1,S3
24572,"{{이름}}[[이의/의]] 운명의 인연, 언제 만날까?",18000,2025-01-22 15:00:00+00,true,false,clickableMenu,사주,연애,새로운만남,,1543,2.569455E7,544,8909400.0,123,1999650.0,7,145,443,509,280,102,39,8,10,0,0,0,2,S3
51499,[창광] 25년 하반기 운세 통합편,66000,2025-06-25 15:00:00+00,false,true,clickableMenu,사주,총운,,하반기운세,447,2.54379E7,1,60000.0,0,0.0,0,4,52,145,131,67,24,13,10,1,0,0,0,S3
22360,사주로 보는 내 결혼 상대는?,18000,2022-08-10 15:00:00+00,true,false,clickableMenu,사주,결혼,결혼시기,,1505,2.43738E7,405,6670050.0,65,1059300.0,8,145,316,562,328,117,18,9,4,0,0,0,1,S4
48463,나만 몰랐던 호감시그널 : 붉은 실 인연🧶,18000,2025-04-02 15:00:00+00,true,false,clickableMenu,타로,연애,썸짝사랑,,1291,2.38269E7,599,1.01823E7,120,1919850.0,10,123,332,407,281,94,34,10,4,0,1,0,1,S3
45097,헤어진 X와 재회할 수 있을까?,27000,2024-11-20 15:00:00+00,true,false,clickableMenu,사주,연애,재회,,1022,2.31525E7,415,9050100.0,39,843150.0,6,73,273,386,196,61,19,5,3,0,0,0,1,S3
55195,사주 살풀이: 타고난 살과 2026년의 살,21000,2025-09-10 15:00:00+00,true,false,clickableMenu,사주,일반운세,,신년운세,1175,2.09766E7,608,1.06791E7,53,920250.0,2,50,181,330,280,189,87,26,29,4,0,0,1,S3
34075,"불안한 사랑, 우리 관계의 미래는?",49500,,true,false,clickableMenu,사주,연애,문제해결,,343,2.031165E7,128,6969450.0,17,1008600.0,0,11,71,119,78,35,19,9,0,1,0,0,0,S3
50773,[창광] 25년 하반기: 직업운과 합격운,20250,2025-06-18 15:00:00+00,false,true,clickableMenu,사주,학업직업,,하반기운세,1195,2.009445E7,32,518250.0,0,0.0,3,65,181,401,323,127,58,18,12,6,0,0,1,S4
2505,지금 날 좋아하는 사람은?,1500,,true,false,clickableMenu,타로,연애,새로운만남,,5026,1.976535E7,2373,8934600.0,390,1177050.0,173,856,1361,1371,802,283,112,34,21,4,0,1,52,S1
58462,내 사주 관운: 지금 직장 최선일까?,18000,2026-01-21 15:00:00+00,true,false,clickableMenu,사주,학업직업,,,1210,1.95909E7,1210,1.95909E7,115,1955850.0,0,4,100,359,365,227,112,27,10,6,0,0,0,S4
43513,2025 을사년 운세: 사랑과 인연,19500,2024-09-10 15:00:00+00,false,true,clickableMenu,사주,연애,,신년운세,1134,1.94826E7,6,100500.0,0,0.0,10,103,307,424,211,58,13,6,2,0,0,0,0,S3
39091,재회 타로 : 그 사람의 첫 연락,13500,,true,false,clickableMenu,타로,연애,재회,,1402,1.932315E7,422,5666550.0,57,744450.0,14,152,351,452,261,92,48,18,4,5,0,0,11,S3
41074,[완결판] 곧 다가올 나의 인생 연애,19500,2024-05-22 15:00:00+00,true,false,clickableMenu,타로,연애,,,1043,1.92795E7,374,6890850.0,59,1042800.0,10,74,246,313,217,116,48,9,12,0,0,0,4,S3
56254,결혼 궁합: 부부 합과 결혼 후 모습,24000,2025-10-01 15:00:00+00,true,false,clickableMenu,사주,연애,궁합,,917,1.91802E7,458,8684100.0,35,688050.0,1,11,78,324,309,118,43,19,13,4,0,0,1,S3
49921,연애 무물 타로: 11카드 스프레드,30000,,false,false,clickableMenu,,연애,,,838,1.900665E7,222,4722600.0,24,487950.0,8,97,246,250,159,50,24,7,0,1,0,0,2,S3
58528,시절 인연 vs 평생 인연,18750,2026-01-15 15:00:00+00,true,false,clickableMenu,사주,연애,,,1079,1.856445E7,1079,1.856445E7,47,802800.0,4,42,172,341,303,143,42,16,11,4,0,0,1,S3
57373,2026 신년 직업・재물운: 커리어/연봉/부업・사업,19500,2025-11-19 15:00:00+00,true,false,clickableMenu,사주,재물금전,재물성장,신년운세,1090,1.83978E7,1090,1.83978E7,52,891150.0,0,7,91,267,337,226,101,33,20,10,1,0,0,S4
18270,그 사람 아직 나한테 미련 있을까?,10500,2020-06-18 15:00:00+00,true,false,clickableMenu,타로,연애,재회,,1662,1.801695E7,488,4972800.0,83,727350.0,15,192,372,533,327,118,59,25,9,2,4,0,11,S3
30940,이 사랑의 결말: 그 사람과 나의 인연,18000,2023-07-05 16:00:00+00,true,false,clickableMenu,타로,연애,,,891,1.74189E7,213,3964350.0,19,361500.0,9,58,220,322,162,69,31,20,3,2,0,0,4,S3
42392,2025년 솔로 탈출 시기,24000,2024-09-26 06:00:00+00,false,true,clickableMenu,사주,연애,새로운만남,신년운세,752,1.67139E7,4,116250.0,0,0.0,7,87,252,260,110,26,6,2,2,0,0,0,0,S3
58792,"내 사주 최고의 결혼, 최악의 결혼",19500,2026-02-04 15:00:00+00,true,false,clickableMenu,사주,결혼,,,908,1.64007E7,908,1.64007E7,68,1205850.0,0,10,74,291,321,145,49,12,4,2,0,0,1,S4
37705,재회 vs 작별: 운명에 새겨진 우리의 엔딩,21000,2024-01-17 16:00:00+00,true,false,clickableMenu,사주,연애,재회,,849,1.62006E7,254,4780650.0,25,488550.0,3,40,200,322,154,74,35,14,4,1,2,0,1,S3
43416,[히든스킬] 내 사주의 연애와 결혼: 운명의 두 사람,18000,,false,false,clickableMenu,사주,연애,,,1335,1.61268E7,457,5300550.0,67,727950.0,10,74,231,379,360,180,67,26,7,5,2,0,0,S3
45658,이 사람과 결혼해도 될까?: 결혼 전 필수 궁합,21000,2025-01-02 15:00:00+00,true,false,clickableMenu,사주,결혼,궁합,,747,1.607625E7,314,6328500.0,22,433800.0,0,6,99,320,233,66,21,2,3,0,0,0,0,S4
16426,좋아하는 그 사람의 속마음은?,10500,2019-12-19 15:00:00+00,true,false,clickableMenu,타로,연애,속마음,,1192,1.57233E7,511,6446700.0,66,1008600.0,13,110,252,489,193,69,39,13,7,2,0,0,14,S3
56255,2026년 놓치면 안 될 3번의 기회,21000,2025-10-09 15:00:00+00,true,false,clickableMenu,사주,일반운세,,신년운세,822,1.54185E7,511,9549300.0,33,636150.0,0,17,119,227,238,132,52,22,9,6,3,0,0,S3
59584,그 사람의 속마음: 연애/결혼/재회/짝사랑,19500,2026-03-25 15:00:00+00,true,false,clickableMenu,사주,연애,재회|속마음,,778,1.52427E7,778,1.52427E7,328,6215550.0,4,67,185,251,150,75,26,11,4,6,0,0,0,S3
49882,그 사람의 숨겨진 진짜 속마음 💟,2250,2025-05-14 15:00:00+00,true,false,clickableMenu,타로,연애,속마음,,3889,1.51455E7,1147,4916100.0,201,629700.0,73,605,1008,1070,667,274,121,44,13,8,1,0,42,S3
16378,짝사랑 이루어질까?,9000,,true,false,clickableMenu,타로,연애,썸짝사랑,,1250,1.499445E7,628,7269300.0,101,989250.0,28,238,356,357,177,57,17,8,2,1,1,0,22,S1
57934,2026 신년 결혼운: 내 인생 최고의 배우자는?,19500,2025-12-18 04:30:00+00,true,false,clickableMenu,사주,결혼,결혼시기,신년운세,853,1.43835E7,853,1.43835E7,25,397350.0,0,7,72,260,294,171,38,10,2,1,1,0,0,S4
30875,내 사주 배우자 궁(宮)에 있는 사람은?,27000,2023-07-03 16:00:00+00,true,false,clickableMenu,사주,연애,,,687,1.405515E7,139,3016350.0,10,225000.0,5,41,136,238,162,70,21,5,4,1,0,0,4,S3
44899,임신 타로: 이번 달 우리 아기 찾아올까?,29250,2024-11-27 15:00:00+00,true,false,clickableMenu,타로,가족자녀,임신출산,,491,1.382715E7,174,4827750.0,18,450900.0,0,5,45,128,219,78,12,1,0,0,0,0,7,S3
58759,"재회의 조건: 골든타임, 시그널, 행동지침",19500,,true,false,clickableMenu,사주,연애,재회,,745,1.38204E7,745,1.38204E7,115,2056950.0,4,60,163,259,153,58,36,5,5,2,1,0,0,S3
400,다시 만날 수 있을까,1500,,true,false,clickableMenu,타로,연애,재회,,7026,1.34586E7,2701,4821300.0,333,518100.0,174,1304,1946,1885,937,387,180,79,25,10,3,1,152,S1
23086,D-DAY 타로: 솔로 탈출까지 며칠 남았을까?,16500,2022-09-21 15:00:00+00,true,false,clickableMenu,타로,연애,새로운만남,,843,1.33764E7,298,4605150.0,35,545700.0,13,137,269,248,124,39,5,1,1,1,0,0,7,S2
20974,타고난 부(富): 내 사주 재물운과 평생 모을 재산은?,18000,2022-05-03 15:00:00+00,true,false,clickableMenu,사주,재물금전,,,788,1.294755E7,364,5924250.0,21,350100.0,3,38,142,231,177,112,52,21,9,4,0,1,0,S4
26502,사주로 보는 결혼수: 나는 언제 결혼할까?,27000,2023-03-30 15:00:00+00,true,false,clickableMenu,사주,결혼,결혼시기,,491,1.263075E7,98,2480850.0,8,216000.0,0,9,69,175,149,63,21,3,2,0,0,0,0,S4
44108,2025년에 찾아올 두 명의 인연,24000,2024-10-09 15:00:00+00,false,true,clickableMenu,사주,연애,,신년운세,558,1.25427E7,19,427200.0,0,0.0,5,49,165,190,113,29,5,1,1,0,0,0,0,S3
53875,짝사랑에서 썸까지: 우리 무슨 사이일까?,18000,2025-07-30 15:00:00+00,true,false,clickableMenu,타로,연애,썸짝사랑,,652,1.22547E7,257,4529550.0,51,842550.0,10,67,172,191,128,45,31,7,2,2,0,0,1,S3
54701,[박향옥 철학관] 추가 질문 1개,3000,,false,false,clickableMenu,사주,결혼,,,2649,1.162425E7,1782,7356300.0,152,599850.0,7,84,365,835,764,357,142,72,35,7,3,0,1,S4
18142,"다음 연애 언제, 어디서 시작될까?",12000,2020-06-03 15:00:00+00,true,false,clickableMenu,타로,연애,새로운만남,,898,1.13976E7,282,3550200.0,44,526500.0,12,102,275,234,161,72,27,8,4,3,2,0,3,S3
36042,사주로 보는 그 사람의 '진짜' 속마음🚨,21000,2023-11-15 16:00:00+00,true,false,clickableMenu,사주,연애,속마음,,529,1.137315E7,200,4267800.0,23,474000.0,2,37,120,162,132,40,29,10,1,0,0,0,0,S3
2328,내 운명의 상대,15000,2021-02-11 15:00:00+00,true,false,clickableMenu,사주,연애,새로운만남,,779,1.122255E7,184,2606400.0,21,298650.0,6,116,251,222,115,49,14,8,1,0,0,0,0,S2
26500,"내 사주의 천생연분, 어떤 사람일까?",21000,2023-04-06 10:00:00+00,true,false,clickableMenu,사주,연애,,,668,1.115205E7,257,4237800.0,58,945150.0,5,41,117,223,171,73,28,7,4,1,0,0,0,S3
56515,[창광] 26년 병오년 재물운과 문서운,20250,2025-10-22 15:00:00+00,true,false,clickableMenu,사주,재물금전,,신년운세,649,1.095015E7,414,6887550.0,19,334050.0,0,5,46,118,181,142,75,47,24,9,0,1,2,S4
54271,연락타로: 그 사람 속마음 & 행동지침,18000,2025-08-13 15:00:00+00,true,false,clickableMenu,타로,연애,썸짝사랑|속마음,,583,1.09044E7,262,4559100.0,45,769350.0,9,49,136,193,117,41,23,7,5,2,0,0,4,S3
55492,재회 타로 즉문즉답: 그 사람 속마음·재회 가능성,25800,2025-09-11 15:00:00+00,true,false,clickableMenu,타로,연애,재회|속마음,,503,1.071495E7,280,5768850.0,19,415650.0,6,24,125,165,94,51,24,12,4,1,1,0,1,S3
35527,사주 궁합으로 보는 우리의 현재와 미래,21000,2023-10-31 16:00:00+00,true,false,clickableMenu,사주,연애,궁합,,491,9962700.0,174,3644250.0,11,231000.0,1,19,104,160,119,51,29,5,3,0,0,0,0,S3
36439,"짝이 있는 그 사람, 나에게 올까?",49500,2023-11-28 15:00:00+00,true,false,clickableMenu,사주,연애,썸짝사랑,,201,9929550.0,80,3687150.0,8,354300.0,0,10,46,66,45,16,11,6,2,0,0,0,1,S3
23089,연봉 상승 비책: 올해 취업•이직운,18000,2025-01-30 15:00:00+00,true,false,clickableMenu,사주,재물금전,,,585,9905850.0,225,3671250.0,35,548250.0,0,2,72,239,159,80,23,7,4,2,1,0,1,S4
49917,연애 무물 타로: 7카드 스프레드,25800,,false,false,clickableMenu,,연애,,,532,9873750.0,156,2810250.0,16,267900.0,5,59,141,155,108,35,19,8,1,2,1,0,2,S3
53710,내 사주 일복: 평생 일할 팔자 vs 놀고먹는 팔자,19500,2025-07-24 15:00:00+00,true,false,clickableMenu,사주,일반운세,,,557,9710850.0,83,1438800.0,5,82800.0,2,27,74,140,145,93,43,20,10,2,1,0,0,S3
60080,결혼 상대 외모 스펙: 상위 몇%일까?,19500,2026-04-23 15:00:00+00,true,false,clickableMenu,사주,,,,528,9687450.0,528,9687450.0,528,9687450.0,1,17,69,171,149,86,24,8,2,1,0,0,0,S3
34575,절대로 놓치면 안 될 결혼 상대와 시기는?,21000,2023-09-24 16:00:00+00,true,false,clickableMenu,사주,결혼,결혼시기,,497,9666750.0,99,1983900.0,10,208950.0,1,15,94,180,139,50,13,3,1,1,0,0,0,S4
53974,이 3번의 기회로: 상위 N% 부자가 됩니다,19500,2025-08-07 15:00:00+00,true,false,clickableMenu,사주,재물금전,,,528,9420600.0,223,3873450.0,17,290100.0,0,8,47,103,135,116,55,36,20,6,2,1,0,S4
2326,그 사람과 나의 속궁합,21000,2021-03-04 15:00:00+00,true,false,clickableMenu,사주,연애,궁합,,425,9306300.0,157,3275400.0,21,397350.0,2,35,87,133,98,49,16,4,3,1,0,0,0,S3
18639,걔는 나를 연애 상대로 볼까?,9000,2020-07-22 15:00:00+00,true,false,clickableMenu,타로,연애,썸짝사랑,,1303,9241800.0,802,5265150.0,144,878100.0,11,182,337,399,255,80,26,13,1,1,0,0,10,S3
16377,3개월 안에 다시 만날 수 있을까?,9000,,true,false,clickableMenu,타로,연애,재회,,902,9157050.0,286,2758800.0,32,291900.0,8,110,224,270,147,74,46,14,8,3,0,0,2,S3
50344,[추가구매] 2025 을사년 하반기 애정운,9000,,false,true,clickableMenu,사주,연애,,하반기운세,975,9069150.0,4,36000.0,0,0.0,1,47,220,394,211,71,27,1,3,0,0,0,0,S3
18467,먼저 연락 올 확률은?,6000,2020-07-07 15:00:00+00,true,false,clickableMenu,타로,연애,썸짝사랑,,1029,8488350.0,488,3940050.0,67,477600.0,17,152,290,295,173,63,26,10,3,1,0,0,9,S3
48925,{{이름}}[[이의/의]] 연애 O X : 직진해도 될까?,16500,2025-04-23 15:00:00+00,true,false,clickableMenu,타로,연애,썸짝사랑,,484,8361450.0,193,3255750.0,19,273600.0,5,31,131,164,93,31,22,4,2,0,0,0,5,S3
55361,[2인 할인] 2026년 신년운세 보고서,75000,,false,false,clickableMenu,,총운,,신년운세,132,8258850.0,36,2256300.0,0,0.0,0,2,13,31,34,38,10,2,1,0,0,0,1,S3
43249,"사주 직업 컨설팅: 사업, 직장, 업종",18000,2024-08-22 15:00:00+00,true,false,clickableMenu,사주,학업직업,,,526,8232300.0,229,3558150.0,46,718800.0,1,20,108,155,133,66,29,9,4,2,0,0,0,S4
59782,"★{{시스템_생년}}★년생이면 꼭 봐야 할, 3번의 기회",19500,2026-04-01 15:00:00+00,true,false,clickableMenu,사주,일반운세,,,467,7867050.0,467,7867050.0,193,3268200.0,0,9,44,127,118,96,41,17,10,2,2,1,0,S3
50774,[창광] 25년 하반기: 재물운과 문서운,20250,2025-06-12 02:00:00+00,false,true,clickableMenu,사주,재물금전,,하반기운세,458,7856700.0,1,0.0,0,0.0,0,1,26,79,147,100,56,31,13,4,1,0,1,S4
58957,임신 궁합: 택일과 길일,31500,2026-02-11 15:00:00+00,true,false,clickableMenu,사주,가족자녀,궁합,,257,7502250.0,257,7502250.0,41,1180350.0,0,0,15,63,121,48,9,0,1,1,0,0,0,S3
20347,내 인생의 귀인 + 운명의 상대는?,30000,2022-03-24 15:00:00+00,true,false,clickableMenu,사주,연애,새로운만남,,614,7094700.0,254,2929650.0,36,416100.0,6,58,164,182,122,47,28,3,4,1,0,0,0,S3
42062,사주 살풀이: 타고난 살과 2025년의 살,21450,2024-08-28 15:00:00+00,false,true,clickableMenu,사주,일반운세,,신년운세,571,7083000.0,13,157950.0,0,0.0,3,39,119,176,123,73,25,8,3,1,0,0,1,S3
60244,연애 상대 스포: 내 사주 존잘/존예,19500,2026-04-29 15:00:00+00,true,false,clickableMenu,사주,,,,406,7052100.0,406,7052100.0,406,7052100.0,0,22,77,136,95,58,18,0,0,0,0,0,0,S3
